city,toss_winner,team1,team2,toss_decision,match_winner,win_by_runs,win_by_wickets
Unknown,Sunrisers Hyderabad,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,0.0,5.0
Abu Dhabi,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,49.0,0.0
Unknown,Chennai Super Kings,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,0.0,5.0
Unknown,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,Punjab Kings,97.0,0.0
Abu Dhabi,Mumbai Indians,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,57.0,0.0
Abu Dhabi,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,0.0
Unknown,Punjab Kings,Punjab Kings,Chennai Super Kings,bat,Chennai Super Kings,0.0,10.0
Abu Dhabi,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,8.0
Unknown,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Delhi Capitals,18.0,0.0
Unknown,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,7.0,0.0
Unknown,Mumbai Indians,Mumbai Indians,Punjab Kings,bat,Punjab Kings,0.0,0.0
Unknown,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0.0,8.0
Unknown,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,Delhi Capitals,59.0,0.0
Unknown,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,Punjab Kings,0.0,8.0
Unknown,Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,0.0,10.0
Unknown,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,0.0,7.0
Abu Dhabi,Kolkata Knight Riders,Kolkata Knight Riders,Punjab Kings,bat,Kolkata Knight Riders,2.0,0.0
Unknown,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,88.0,0.0
Unknown,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,bat,Royal Challengers Bangalore,37.0,0.0
Abu Dhabi,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,0.0,8.0
Unknown,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,Rajasthan Royals,0.0,4.0
Unknown,Chennai Super Kings,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,20.0,0.0
Abu Dhabi,Delhi Capitals,Delhi Capitals,Mumbai Indians,bat,Mumbai Indians,0.0,5.0
Unknown,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,Kolkata Knight Riders,60.0,0.0
Unknown,Royal Challengers Bangalore,Royal Challengers Bangalore,Punjab Kings,bat,Punjab Kings,0.0,8.0
Abu Dhabi,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,15.0,0.0
Abu Dhabi,Chennai Super Kings,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,0.0,7.0
